osmid,y,x,highway,ref,street_count,junction,geometry
728180204,36.5055267,140.5792226,,,3,,POINT (140.5792226 36.5055267)
728180205,36.5094229,140.6190324,traffic_signals,,4,,POINT (140.6190324 36.5094229)
728180206,36.5122136,140.6071536,,,3,,POINT (140.6071536 36.5122136)
728180208,36.5068241,140.576226,,,3,,POINT (140.576226 36.5068241)
728180210,36.5047578,140.6161451,,,4,yes,POINT (140.6161451 36.5047578)
728180212,36.503384,140.6179908,,,3,,POINT (140.6179908 36.503384)
728180220,36.5127123,140.6068425,,,4,yes,POINT (140.6068425 36.5127123)
728180221,36.5067319,140.5727654,,,3,,POINT (140.5727654 36.5067319)
728309906,36.5159803,140.6272344,traffic_signals,,4,,POINT (140.6272344 36.5159803)
729608906,36.5098929,140.6097742,,,4,yes,POINT (140.6097742 36.5098929)
729608911,36.4950299,140.5988098,,,4,yes,POINT (140.5988098 36.4950299)
729608913,36.5035513,140.6067873,,,3,,POINT (140.6067873 36.5035513)
729608921,36.4978863,140.6047552,,,3,,POINT (140.6047552 36.4978863)
742227285,36.5154639,140.6243784,,,3,,POINT (140.6243784 36.5154639)
742227290,36.5128761,140.6311354,,,3,,POINT (140.6311354 36.5128761)
742227292,36.5184208,140.615816,traffic_signals,,3,,POINT (140.615816 36.5184208)
742227295,36.513229,140.6114427,,,3,,POINT (140.6114427 36.513229)
742227298,36.5069133,140.6292739,traffic_signals,,4,,POINT (140.6292739 36.5069133)
742227299,36.5149092,140.6244182,,,4,,POINT (140.6244182 36.5149092)
742227301,36.5129929,140.6290346,,,3,,POINT (140.6290346 36.5129929)
742227307,36.5127864,140.6112626,,,4,yes,POINT (140.6112626 36.5127864)
742227308,36.5120908,140.6232094,traffic_signals,,4,,POINT (140.6232094 36.5120908)
742227310,36.5151129,140.6225399,traffic_signals,,4,,POINT (140.6225399 36.5151129)
742997577,36.5066832,140.6082349,traffic_signals,,3,,POINT (140.6082349 36.5066832)
742997586,36.5149437,140.6132836,traffic_signals,,3,,POINT (140.6132836 36.5149437)
742997610,36.5024676,140.626787,,,3,,POINT (140.626787 36.5024676)
742997628,36.502136,140.605722,traffic_signals,,3,,POINT (140.605722 36.502136)
742997636,36.5008996,140.6253326,,,4,yes,POINT (140.6253326 36.5008996)
742997643,36.4975915,140.6041622,traffic_signals,,4,,POINT (140.6041622 36.4975915)
752443165,36.5081006,140.6296465,,,4,,POINT (140.6296465 36.5081006)
752443180,36.5078847,140.6301654,,,4,,POINT (140.6301654 36.5078847)
752443193,36.5115566,140.6307264,traffic_signals,,4,,POINT (140.6307264 36.5115566)
752443228,36.5104674,140.6312718,,,4,,POINT (140.6312718 36.5104674)
752443246,36.508771,140.6306053,,,4,,POINT (140.6306053 36.508771)
761108840,36.5098576,140.6301972,traffic_signals,,4,,POINT (140.6301972 36.5098576)
761108847,36.508656,140.6223187,,,3,,POINT (140.6223187 36.508656)
761108857,36.5105932,140.6251687,,,3,,POINT (140.6251687 36.5105932)
761108864,36.5045056,140.6158788,,,3,,POINT (140.6158788 36.5045056)
761108866,36.5162754,140.6288671,,,3,,POINT (140.6288671 36.5162754)
761108870,36.5012388,140.6145266,,,4,,POINT (140.6145266 36.5012388)
761108872,36.5091009,140.6217382,,,3,,POINT (140.6217382 36.5091009)
761108878,36.5031455,140.6063855,traffic_signals,,4,,POINT (140.6063855 36.5031455)
761109098,36.5105657,140.6256944,,,4,,POINT (140.6256944 36.5105657)
761109103,36.5095364,140.6230575,,,4,,POINT (140.6230575 36.5095364)
761109114,36.5114561,140.6242866,,,4,,POINT (140.6242866 36.5114561)
761109116,36.500519,140.612063,,,3,,POINT (140.612063 36.500519)
761109118,36.515475,140.6283606,,,4,,POINT (140.6283606 36.515475)
761109120,36.5079772,140.6264058,,,4,,POINT (140.6264058 36.5079772)
761109122,36.5118037,140.627192,,,3,,POINT (140.627192 36.5118037)
761109124,36.5090179,140.6236551,,,4,,POINT (140.6236551 36.5090179)
761109125,36.5119526,140.6250795,,,4,,POINT (140.6250795 36.5119526)
761109129,36.5147836,140.6255401,,,4,,POINT (140.6255401 36.5147836)
761109131,36.5109592,140.6239935,,,3,,POINT (140.6239935 36.5109592)
761109133,36.510425,140.6277326,,,4,,POINT (140.6277326 36.510425)
761109135,36.5082707,140.6220849,,,3,,POINT (140.6220849 36.5082707)
761109140,36.5114116,140.6250293,,,4,,POINT (140.6250293 36.5114116)
761109148,36.5015567,140.6147054,,,3,,POINT (140.6147054 36.5015567)
761109149,36.5117581,140.6278704,,,3,,POINT (140.6278704 36.5117581)
761109151,36.5107666,140.6246306,,,4,,POINT (140.6246306 36.5107666)
761109155,36.50853,140.6214011,,,3,,POINT (140.6214011 36.50853)
761109166,36.5156386,140.6254043,,,4,,POINT (140.6254043 36.5156386)
761109167,36.5119947,140.6244081,,,3,,POINT (140.6244081 36.5119947)
761109171,36.5153596,140.6289427,,,3,,POINT (140.6289427 36.5153596)
761109173,36.5134132,140.6273723,,,3,,POINT (140.6273723 36.5134132)
761112896,36.5035757,140.5767603,,,3,,POINT (140.5767603 36.5035757)
761127865,36.5129124,140.5773656,traffic_signals,,3,,POINT (140.5773656 36.5129124)
769231139,36.5068719,140.6257899,,,3,,POINT (140.6257899 36.5068719)
769250985,36.4953614,140.616804,,,4,,POINT (140.616804 36.4953614)
769250992,36.4921248,140.6146893,,,3,,POINT (140.6146893 36.4921248)
769250995,36.4938483,140.6139916,,,3,,POINT (140.6139916 36.4938483)
769250997,36.4913722,140.6130307,,,3,,POINT (140.6130307 36.4913722)
769251000,36.491233,140.6136606,,,3,,POINT (140.6136606 36.491233)
769251003,36.4975333,140.6236712,,,3,,POINT (140.6236712 36.4975333)
769251005,36.4944305,140.6185592,,,3,,POINT (140.6185592 36.4944305)
769251006,36.4938008,140.6150529,,,3,,POINT (140.6150529 36.4938008)
769251008,36.4962471,140.621098,traffic_signals,,3,,POINT (140.621098 36.4962471)
769251010,36.4914428,140.6137663,,,3,,POINT (140.6137663 36.4914428)
769251011,36.489894,140.6165524,,,3,,POINT (140.6165524 36.489894)
769251012,36.4844875,140.6107247,,,3,,POINT (140.6107247 36.4844875)
769251013,36.4925075,140.6134073,,,3,,POINT (140.6134073 36.4925075)
769251016,36.4945421,140.6156541,traffic_signals,,4,,POINT (140.6156541 36.4945421)
769251024,36.4956608,140.6175009,,,4,,POINT (140.6175009 36.4956608)
769251026,36.4987232,140.6228816,traffic_signals,,3,,POINT (140.6228816 36.4987232)
769251030,36.4928784,140.615675,,,3,,POINT (140.615675 36.4928784)
769251034,36.4943789,140.6155144,,,4,,POINT (140.6155144 36.4943789)
769251035,36.4947786,140.6181681,,,3,,POINT (140.6181681 36.4947786)
769251037,36.4847898,140.6047482,,,3,,POINT (140.6047482 36.4847898)
769251038,36.4960806,140.6197141,,,3,,POINT (140.6197141 36.4960806)
769251040,36.4987176,140.6229966,traffic_signals,,4,,POINT (140.6229966 36.4987176)
769251042,36.4933557,140.6137422,,,3,,POINT (140.6137422 36.4933557)
769251045,36.4910309,140.6141621,traffic_signals,,5,,POINT (140.6141621 36.4910309)
769251047,36.4986606,140.6229375,traffic_signals,,4,,POINT (140.6229375 36.4986606)
769251051,36.4909571,140.6142382,traffic_signals,,4,,POINT (140.6142382 36.4909571)
769251052,36.4899566,140.6166049,,,4,,POINT (140.6166049 36.4899566)
769251057,36.4941714,140.6142171,,,3,,POINT (140.6142171 36.4941714)
769251061,36.4934136,140.6147723,,,3,,POINT (140.6147723 36.4934136)
769251062,36.4925158,140.6160882,,,3,,POINT (140.6160882 36.4925158)
769251064,36.4916178,140.6131125,,,3,,POINT (140.6131125 36.4916178)
769251070,36.4910156,140.6143191,traffic_signals,,4,,POINT (140.6143191 36.4910156)
769251073,36.4899474,140.6124924,,,3,,POINT (140.6124924 36.4899474)
769251075,36.4963169,140.6210152,traffic_signals,,4,,POINT (140.6210152 36.4963169)
769251079,36.4951043,140.6148814,,,4,,POINT (140.6148814 36.4951043)
769251080,36.4974936,140.6236078,,,3,,POINT (140.6236078 36.4974936)
769251083,36.4931228,140.6145883,,,3,,POINT (140.6145883 36.4931228)
769251085,36.4841048,140.6130739,,,4,,POINT (140.6130739 36.4841048)
769251086,36.4987901,140.6229547,traffic_signals,,3,,POINT (140.6229547 36.4987901)
773686928,36.5084955,140.6250281,,,4,,POINT (140.6250281 36.5084955)
773686929,36.5101861,140.6287662,,,4,,POINT (140.6287662 36.5101861)
773686930,36.5116889,140.6289274,traffic_signals,,4,,POINT (140.6289274 36.5116889)
773686931,36.5076137,140.6273934,,,4,,POINT (140.6273934 36.5076137)
775711817,36.516388,140.6294618,,,3,,POINT (140.6294618 36.516388)
775711823,36.5179149,140.6266011,,,3,,POINT (140.6266011 36.5179149)
775711831,36.5192178,140.6276437,traffic_signals,,4,,POINT (140.6276437 36.5192178)
775711833,36.5167882,140.6297856,,,4,,POINT (140.6297856 36.5167882)
775711835,36.5170638,140.6249919,,,5,,POINT (140.6249919 36.5170638)
775715194,36.4950652,140.592703,,,3,,POINT (140.592703 36.4950652)
775715202,36.4970143,140.5707182,,,3,,POINT (140.5707182 36.4970143)
775715207,36.4951217,140.5875002,,,3,,POINT (140.5875002 36.4951217)
775715214,36.4953094,140.5986292,,,3,,POINT (140.5986292 36.4953094)
775715226,36.4956158,140.5864693,,,3,,POINT (140.5864693 36.4956158)
775716498,36.5026751,140.5755644,,,3,,POINT (140.5755644 36.5026751)
937434214,36.4993049,140.613821,,,3,,POINT (140.613821 36.4993049)
937434215,36.4965108,140.6170503,traffic_signals,,4,,POINT (140.6170503 36.4965108)
937434216,36.5004097,140.6134545,traffic_signals,,4,,POINT (140.6134545 36.5004097)
937434221,36.4976914,140.6143698,,,3,,POINT (140.6143698 36.4976914)
937434224,36.4983178,140.6138241,,,3,,POINT (140.6138241 36.4983178)
959513312,36.6373213,140.6871289,,,4,yes,POINT (140.6871289 36.6373213)
959514189,36.6370362,140.6897313,,,3,,POINT (140.6897313 36.6370362)
959514191,36.6369395,140.6906192,,,3,yes,POINT (140.6906192 36.6369395)
959514197,36.6359479,140.6904099,,,3,,POINT (140.6904099 36.6359479)
959518630,36.6052764,140.6742963,,,3,yes,POINT (140.6742963 36.6052764)
959533132,36.604491,140.6557588,,,4,yes,POINT (140.6557588 36.604491)
959533344,36.6041649,140.6562526,,,3,,POINT (140.6562526 36.6041649)
959533366,36.6032542,140.6577158,,,4,,POINT (140.6577158 36.6032542)
959533392,36.6016621,140.6592322,,,3,,POINT (140.6592322 36.6016621)
959533432,36.6001163,140.6635699,,,3,,POINT (140.6635699 36.6001163)
959533434,36.5999332,140.6641495,traffic_signals,,4,,POINT (140.6641495 36.5999332)
959533443,36.5995544,140.6654716,,,4,,POINT (140.6654716 36.5995544)
959533452,36.599251,140.6667092,,,3,,POINT (140.6667092 36.599251)
959533455,36.5991093,140.66712,,,3,,POINT (140.66712 36.5991093)
959533463,36.5989829,140.6674392,,,3,,POINT (140.6674392 36.5989829)
959533603,36.5975697,140.6704824,,,3,yes,POINT (140.6704824 36.5975697)
959568582,36.52517,140.6251294,,,3,,POINT (140.6251294 36.52517)
959568602,36.5286555,140.6200735,,,3,,POINT (140.6200735 36.5286555)
959568607,36.5289159,140.618509,,,4,,POINT (140.618509 36.5289159)
959568674,36.5897821,140.6467647,,,3,yes,POINT (140.6467647 36.5897821)
959568680,36.5273699,140.6342925,traffic_signals,,3,,POINT (140.6342925 36.5273699)
959568684,36.5266799,140.6338689,,,3,,POINT (140.6338689 36.5266799)
959568688,36.5259001,140.6330445,,,3,,POINT (140.6330445 36.5259001)
959568750,36.5208767,140.6274909,,,3,,POINT (140.6274909 36.5208767)
959568754,36.5204504,140.6273889,,,3,,POINT (140.6273889 36.5204504)
959568765,36.5275212,140.6338135,,,3,,POINT (140.6338135 36.5275212)
959568767,36.5276556,140.6334355,,,3,,POINT (140.6334355 36.5276556)
959568770,36.5281874,140.6333041,,,3,,POINT (140.6333041 36.5281874)
959568773,36.5279587,140.6330891,,,3,,POINT (140.6330891 36.5279587)
959568777,36.5281216,140.6321625,,,4,,POINT (140.6321625 36.5281216)
959568779,36.5282546,140.6314246,,,4,,POINT (140.6314246 36.5282546)
959568784,36.5288233,140.630244,,,3,,POINT (140.630244 36.5288233)
959568785,36.5289861,140.6300114,,,4,,POINT (140.6300114 36.5289861)
959568789,36.5284698,140.629456,,,3,,POINT (140.629456 36.5284698)
959568790,36.5283836,140.6294399,,,3,,POINT (140.6294399 36.5283836)
959568793,36.5281825,140.6292448,,,3,,POINT (140.6292448 36.5281825)
959568794,36.5282937,140.6288714,,,3,,POINT (140.6288714 36.5282937)
959568796,36.5284176,140.6285463,,,3,,POINT (140.6285463 36.5284176)
959568800,36.5282595,140.6280287,,,3,,POINT (140.6280287 36.5282595)
959568801,36.5282932,140.6278949,,,4,,POINT (140.6278949 36.5282932)
959568803,36.5285737,140.6280278,,,3,,POINT (140.6280278 36.5285737)
959568817,36.5251539,140.6263333,,,3,,POINT (140.6263333 36.5251539)
959568823,36.5922953,140.6485439,,,4,yes,POINT (140.6485439 36.5922953)
959568876,36.5920834,140.6469866,,,3,,POINT (140.6469866 36.5920834)
959568888,36.5928041,140.6459729,,,3,,POINT (140.6459729 36.5928041)
959568926,36.5921155,140.6433395,,,4,,POINT (140.6433395 36.5921155)
959568930,36.5922635,140.6424497,,,3,,POINT (140.6424497 36.5922635)
959568951,36.5908778,140.6408484,,,3,,POINT (140.6408484 36.5908778)
959568969,36.5893721,140.6389976,,,3,,POINT (140.6389976 36.5893721)
959568977,36.5887543,140.639813,,,3,,POINT (140.639813 36.5887543)
959568979,36.5885827,140.6399748,,,3,,POINT (140.6399748 36.5885827)
974576782,36.5190257,140.6273081,,,3,,POINT (140.6273081 36.5190257)
988956149,36.5233816,140.6300606,traffic_signals,,4,,POINT (140.6300606 36.5233816)
988956186,36.5247971,140.6260477,traffic_signals,,4,,POINT (140.6260477 36.5247971)
988956226,36.5236499,140.629607,,,3,,POINT (140.629607 36.5236499)
988956258,36.524482,140.6269176,,,4,,POINT (140.6269176 36.524482)
988963424,36.5198867,140.6070377,,,3,,POINT (140.6070377 36.5198867)
988963480,36.51868,140.6063732,,,3,,POINT (140.6063732 36.51868)
988964566,36.5226723,140.6077292,,,1,,POINT (140.6077292 36.5226723)
994803626,36.5003247,140.60575,,,4,,POINT (140.60575 36.5003247)
994803634,36.5016936,140.6056863,traffic_signals,,3,,POINT (140.6056863 36.5016936)
994803673,36.5005351,140.6119359,,,3,,POINT (140.6119359 36.5005351)
994803681,36.502565,140.607201,,,4,,POINT (140.607201 36.502565)
994803746,36.4965653,140.6140301,,,3,,POINT (140.6140301 36.4965653)
994803765,36.4971432,140.613444,,,3,,POINT (140.613444 36.4971432)
994803781,36.4982342,140.6132576,,,3,,POINT (140.6132576 36.4982342)
994803794,36.4984757,140.6123403,,,3,,POINT (140.6123403 36.4984757)
994803818,36.4985405,140.6118248,,,3,,POINT (140.6118248 36.4985405)
994803821,36.4988176,140.611836,,,3,,POINT (140.611836 36.4988176)
994803851,36.5020596,140.6067368,,,3,,POINT (140.6067368 36.5020596)
995829435,36.5426668,140.6434196,,,3,,POINT (140.6434196 36.5426668)
995829481,36.5472692,140.6432813,,,3,,POINT (140.6432813 36.5472692)
995829497,36.5480667,140.6410962,traffic_signals,,3,,POINT (140.6410962 36.5480667)
995831243,36.5650777,140.6463224,,,3,,POINT (140.6463224 36.5650777)
995831330,36.5780786,140.6559741,traffic_signals,,4,,POINT (140.6559741 36.5780786)
995832563,36.5784461,140.6561945,,,3,,POINT (140.6561945 36.5784461)
995832582,36.5781796,140.6575964,,,4,,POINT (140.6575964 36.5781796)
995832587,36.5788299,140.6578053,,,3,,POINT (140.6578053 36.5788299)
995832653,36.5830417,140.6613921,,,3,,POINT (140.6613921 36.5830417)
995832657,36.5835033,140.660563,,,3,,POINT (140.660563 36.5835033)
995832662,36.5837472,140.6598935,,,4,,POINT (140.6598935 36.5837472)
995834874,36.5868746,140.6617795,,,3,,POINT (140.6617795 36.5868746)
995834887,36.5880901,140.6617398,,,3,,POINT (140.6617398 36.5880901)
995834891,36.5885082,140.6617076,,,3,,POINT (140.6617076 36.5885082)
995834907,36.5896011,140.6599166,,,3,,POINT (140.6599166 36.5896011)
995834909,36.5892634,140.6607907,,,3,,POINT (140.6607907 36.5892634)
995836418,36.5927479,140.6639582,,,3,,POINT (140.6639582 36.5927479)
995836440,36.5949753,140.6660464,,,3,,POINT (140.6660464 36.5949753)
995836513,36.5975378,140.6682555,,,1,,POINT (140.6682555 36.5975378)
995859436,36.5859997,140.6619272,,,4,,POINT (140.6619272 36.5859997)
995859642,36.5868627,140.6594699,,,4,yes,POINT (140.6594699 36.5868627)
995859699,36.5907706,140.6548707,,,5,yes,POINT (140.6548707 36.5907706)
995859713,36.5915376,140.6532989,,,4,yes,POINT (140.6532989 36.5915376)
995859715,36.5917791,140.6528082,,,4,,POINT (140.6528082 36.5917791)
995859716,36.5919267,140.6524968,,,3,,POINT (140.6524968 36.5919267)
995859723,36.5922197,140.6518947,,,4,yes,POINT (140.6518947 36.5922197)
995866047,36.5935419,140.6528576,,,3,,POINT (140.6528576 36.5935419)
996119836,36.6140712,140.6711939,,,3,yes,POINT (140.6711939 36.6140712)
996119943,36.6055166,140.6573819,,,3,,POINT (140.6573819 36.6055166)
996120043,36.6131767,140.672156,,,3,,POINT (140.672156 36.6131767)
996120054,36.6127533,140.6728698,,,3,yes,POINT (140.6728698 36.6127533)
996120091,36.6111121,140.6755562,,,3,,POINT (140.6755562 36.6111121)
996120095,36.6108325,140.6756953,,,3,,POINT (140.6756953 36.6108325)
996120116,36.612813,140.6765705,,,4,,POINT (140.6765705 36.612813)
996120125,36.6141569,140.6772016,,,3,,POINT (140.6772016 36.6141569)
996120127,36.6143655,140.6773692,traffic_signals,,4,,POINT (140.6773692 36.6143655)
996130431,36.5843192,140.6414484,,,4,yes,POINT (140.6414484 36.5843192)
996130461,36.6128121,140.6727353,,,3,yes,POINT (140.6727353 36.6128121)
996130471,36.6106162,140.6713217,,,4,,POINT (140.6713217 36.6106162)
996130476,36.6101702,140.671262,,,3,,POINT (140.671262 36.6101702)
996130481,36.6092059,140.6710409,,,3,,POINT (140.6710409 36.6092059)
996130491,36.6082727,140.6699097,,,3,,POINT (140.6699097 36.6082727)
996130496,36.6074364,140.6690207,,,3,,POINT (140.6690207 36.6074364)
996130501,36.6071121,140.6689441,,,3,,POINT (140.6689441 36.6071121)
996130524,36.6059678,140.6676221,,,3,,POINT (140.6676221 36.6059678)
996130528,36.6052271,140.6675669,,,3,,POINT (140.6675669 36.6052271)
996130531,36.6049658,140.6675236,traffic_signals,,3,,POINT (140.6675236 36.6049658)
996130563,36.6050301,140.6668845,,,3,,POINT (140.6668845 36.6050301)
996130572,36.6051358,140.6659121,,,3,,POINT (140.6659121 36.6051358)
996130575,36.6051972,140.6654298,,,3,,POINT (140.6654298 36.6051972)
996130577,36.6052163,140.6652471,traffic_signals,,4,,POINT (140.6652471 36.6052163)
996130594,36.6036068,140.6643633,traffic_signals,,4,,POINT (140.6643633 36.6036068)
996130639,36.6013586,140.6621993,traffic_signals,,4,,POINT (140.6621993 36.6013586)
996130657,36.5993567,140.6607338,,,4,,POINT (140.6607338 36.5993567)
996130667,36.599017,140.6602766,,,3,,POINT (140.6602766 36.599017)
996130671,36.5986841,140.6594741,,,3,,POINT (140.6594741 36.5986841)
996130696,36.5975232,140.658255,traffic_signals,,3,,POINT (140.658255 36.5975232)
996130704,36.5970897,140.657923,,,3,,POINT (140.657923 36.5970897)
996130725,36.5943064,140.657609,,,3,,POINT (140.657609 36.5943064)
996130731,36.5929902,140.6567855,,,3,,POINT (140.6567855 36.5929902)
996130733,36.5922681,140.6563105,traffic_signals,,4,,POINT (140.6563105 36.5922681)
996130759,36.5891173,140.6534684,,,3,,POINT (140.6534684 36.5891173)
996130763,36.5884497,140.6530227,,,3,,POINT (140.6530227 36.5884497)
996130812,36.5860462,140.6485205,traffic_signals,,4,,POINT (140.6485205 36.5860462)
996130830,36.5851137,140.6453368,,,4,,POINT (140.6453368 36.5851137)
996146154,36.5740364,140.6349764,,,3,yes,POINT (140.6349764 36.5740364)
996146201,36.5740803,140.6324135,,,3,,POINT (140.6324135 36.5740803)
996146340,36.5732037,140.6249629,,,3,,POINT (140.6249629 36.5732037)
996146398,36.5737431,140.6208789,,,3,,POINT (140.6208789 36.5737431)
996146615,36.5822382,140.6091041,,,3,,POINT (140.6091041 36.5822382)
996366317,36.5087766,140.6207454,,,3,,POINT (140.6207454 36.5087766)
996366325,36.5100914,140.622769,,,4,,POINT (140.622769 36.5100914)
996366340,36.5099655,140.6212696,,,4,,POINT (140.6212696 36.5099655)
996366356,36.5099395,140.6221451,,,3,,POINT (140.6221451 36.5099395)
996366360,36.5104191,140.6235097,,,3,,POINT (140.6235097 36.5104191)
996380339,36.5096834,140.6309652,,,4,,POINT (140.6309652 36.5096834)
996380342,36.5095105,140.6317114,,,3,,POINT (140.6317114 36.5095105)
996380351,36.5106273,140.6304352,,,3,,POINT (140.6304352 36.5106273)
996380386,36.5337784,140.6363209,traffic_signals,,4,,POINT (140.6363209 36.5337784)
996387642,36.5360899,140.637607,,,3,,POINT (140.637607 36.5360899)
996387659,36.5377435,140.637771,,,3,,POINT (140.637771 36.5377435)
996387714,36.541815,140.6415352,,,3,,POINT (140.6415352 36.541815)
999760452,36.5881437,140.6452849,,,3,yes,POINT (140.6452849 36.5881437)
999767825,36.5834711,140.6502716,traffic_signals,,3,,POINT (140.6502716 36.5834711)
1000292665,36.5803263,140.6496113,,,3,,POINT (140.6496113 36.5803263)
1000292669,36.5799218,140.6493894,traffic_signals,,4,,POINT (140.6493894 36.5799218)
1000292722,36.5758128,140.6454492,traffic_signals,,4,,POINT (140.6454492 36.5758128)
1000292975,36.5590199,140.6384325,,,3,,POINT (140.6384325 36.5590199)
1000293028,36.553158,140.632571,,,3,,POINT (140.632571 36.553158)
1000320706,36.5535275,140.630826,,,4,yes,POINT (140.630826 36.5535275)
1000320752,36.5482481,140.6261866,,,3,,POINT (140.6261866 36.5482481)
1000320763,36.5450964,140.6244639,,,3,,POINT (140.6244639 36.5450964)
1000320768,36.5432683,140.6237457,,,3,,POINT (140.6237457 36.5432683)
1000329411,36.5404324,140.6221485,traffic_signals,,4,,POINT (140.6221485 36.5404324)
1000329613,36.5388198,140.6111747,,,3,,POINT (140.6111747 36.5388198)
1000329620,36.5383399,140.6103151,,,3,,POINT (140.6103151 36.5383399)
1000329625,36.5381403,140.6099533,,,4,,POINT (140.6099533 36.5381403)
1000329629,36.5373381,140.6106366,,,5,,POINT (140.6106366 36.5373381)
1000329735,36.5317258,140.6114355,,,3,,POINT (140.6114355 36.5317258)
1000329748,36.5311453,140.6127668,,,3,,POINT (140.6127668 36.5311453)
1000329782,36.5291045,140.6137858,traffic_signals,,4,,POINT (140.6137858 36.5291045)
1000336131,36.5129501,140.6029741,traffic_signals,,3,,POINT (140.6029741 36.5129501)
1000336204,36.5185802,140.6066839,,,3,,POINT (140.6066839 36.5185802)
1000336222,36.5160464,140.6058978,,,2,,POINT (140.6058978 36.5160464)
1000347799,36.5119064,140.6074718,,,3,,POINT (140.6074718 36.5119064)
1000347813,36.5118567,140.6061407,,,3,,POINT (140.6061407 36.5118567)
1000347815,36.5107819,140.6059722,,,3,,POINT (140.6059722 36.5107819)
1000347817,36.5099854,140.6059477,,,4,,POINT (140.6059477 36.5099854)
1000347824,36.5099811,140.605387,,,3,,POINT (140.605387 36.5099811)
1000347830,36.5096431,140.6054009,,,3,,POINT (140.6054009 36.5096431)
